link,pred,prey,log10_ppmr
0,5.35782467475548e-4,8.94759846433935e-5,0.7772820116874999
0,2.70286739993669e-4,8.94759846433935e-5,0.48011825384779244
0,5.23166588876246e-4,8.94759846433935e-5,0.7669335144346614
0,4.18876134989354e-4,8.94759846433935e-5,0.6703791313060762
0,1.99564746542808e-4,8.94759846433935e-5,0.3483773385505668
0,4.16964364574935e-4,8.94759846433935e-5,0.6683924537283924
0,1.50922294763019e-4,8.94759846433935e-5,0.2270469136907736
0,2.22900163471537e-4,8.94759846433935e-5,0.39640390067937176
0,3.98766938745432e-5,8.94759846433935e-5,-0.35098734197119996
0,3.91740381171809e-4,8.94759846433935e-5,0.6412918552603282
0,2.20804627643921e-4,8.94759846433935e-5,0.3923016848308362
0,8.94759846433935e-5,8.94759846433935e-5,0
0,7.11474224308155e-5,5.23166588876246e-4,-0.8664808299020875
0,4.18876134989354e-4,5.23166588876246e-4,-0.09655438312858519
0,2.22900163471537e-4,5.23166588876246e-4,-0.3705296137552896
0,5.35782467475548e-4,5.23166588876246e-4,0.010348497252838462
0,3.98766938745432e-5,5.23166588876246e-4,-1.1179208564058614
0,5.23166588876246e-4,5.23166588876246e-4,0
0,8.94759846433935e-5,5.23166588876246e-4,-0.7669335144346614
0,4.16964364574935e-4,5.23166588876246e-4,-0.09854106070626895
0,2.20804627643921e-4,5.23166588876246e-4,-0.3746318296038252
0,1.30652153227862e-5,5.23166588876246e-4,-1.602523429177946
0,1.99564746542808e-4,5.23166588876246e-4,-0.4185561758840946
0,2.50865225512611e-4,5.23166588876246e-4,-0.31919953637554893
0,1.50922294763019e-4,5.23166588876246e-4,-0.5398866007438878
0,2.70286739993669e-4,5.23166588876246e-4,-0.2868152605868689
0,3.91740381171809e-4,5.23166588876246e-4,-0.12564165917433318
0,2.20804627643921e-4,4.16964364574935e-4,-0.2760907688975563
0,4.18876134989354e-4,4.16964364574935e-4,0.001986677577683759
0,2.70286739993669e-4,4.16964364574935e-4,-0.18827419988059993
0,2.22900163471537e-4,4.16964364574935e-4,-0.27198855304902064
0,1.30652153227862e-5,4.16964364574935e-4,-1.503982368471677
0,7.11474224308155e-5,4.16964364574935e-4,-0.7679397691958185
0,5.35782467475548e-4,4.16964364574935e-4,0.10888955795910743
0,1.50922294763019e-4,4.16964364574935e-4,-0.4413455400376189
0,4.16964364574935e-4,4.16964364574935e-4,0
0,8.94759846433935e-5,4.16964364574935e-4,-0.6683924537283924
0,3.98766938745432e-5,4.16964364574935e-4,-1.0193797956995923
0,5.23166588876246e-4,4.16964364574935e-4,0.098541060706269
0,2.50865225512611e-4,4.16964364574935e-4,-0.22065847566927993
0,3.91740381171809e-4,4.16964364574935e-4,-0.027100598468064195
0,1.99564746542808e-4,4.16964364574935e-4,-0.32001511517782566
0,2.20804627643921e-4,1.50922294763019e-4,0.16525477114006257
0,2.50865225512611e-4,1.50922294763019e-4,0.22068706436833893
0,7.11474224308155e-5,1.50922294763019e-4,-0.32659422915819974
0,5.23166588876246e-4,1.50922294763019e-4,0.5398866007438878
0,1.30652153227862e-5,1.50922294763019e-4,-1.0626368284340584
0,4.16964364574935e-4,1.50922294763019e-4,0.44134554003761883
0,2.70286739993669e-4,1.50922294763019e-4,0.2530713401570189
0,4.18876134989354e-4,1.50922294763019e-4,0.4433322176153026
0,1.50922294763019e-4,1.50922294763019e-4,0
0,5.35782467475548e-4,1.50922294763019e-4,0.5502350979967263
0,3.98766938745432e-5,1.50922294763019e-4,-0.5780342556619735
1,2.22900163471537e-4,1.50922294763019e-4,0.16935698698859822
0,1.99564746542808e-4,1.50922294763019e-4,0.12133042485979323
0,8.94759846433935e-5,1.50922294763019e-4,-0.2270469136907736
0,3.91740381171809e-4,1.50922294763019e-4,0.41424494156955466
0,5.35782467475548e-4,3.98766938745432e-5,1.1282693536586998
0,2.20804627643921e-4,3.98766938745432e-5,0.7432890268020361
0,7.11474224308155e-5,3.98766938745432e-5,0.2514400265037738
0,4.16964364574935e-4,3.98766938745432e-5,1.0193797956995925
0,1.99564746542808e-4,3.98766938745432e-5,0.6993646805217667
1,2.50865225512611e-4,3.98766938745432e-5,0.7987213200303125
0,4.18876134989354e-4,3.98766938745432e-5,1.0213664732772763
1,2.22900163471537e-4,3.98766938745432e-5,0.7473912426505718
0,5.23166588876246e-4,3.98766938745432e-5,1.1179208564058614
0,3.91740381171809e-4,3.98766938745432e-5,0.9922791972315282
0,3.98766938745432e-5,3.98766938745432e-5,0
1,1.50922294763019e-4,3.98766938745432e-5,0.5780342556619735
1,1.30652153227862e-5,3.98766938745432e-5,-0.48460257277208474
0,8.94759846433935e-5,3.98766938745432e-5,0.35098734197119996
0,2.70286739993669e-4,3.98766938745432e-5,0.8311055958189925
0,1.99564746542808e-4,4.18876134989354e-4,-0.3220017927555094
0,2.20804627643921e-4,4.18876134989354e-4,-0.27807744647523996
0,5.23166588876246e-4,4.18876134989354e-4,0.0965543831285852
0,4.16964364574935e-4,4.18876134989354e-4,-0.0019866775776837806
0,4.18876134989354e-4,4.18876134989354e-4,0
0,5.35782467475548e-4,4.18876134989354e-4,0.10690288038142362
0,8.94759846433935e-5,4.18876134989354e-4,-0.6703791313060763
0,3.98766938745432e-5,4.18876134989354e-4,-1.0213664732772763
0,2.50865225512611e-4,4.18876134989354e-4,-0.22264515324696374
0,1.50922294763019e-4,4.18876134989354e-4,-0.44333221761530267
0,2.70286739993669e-4,4.18876134989354e-4,-0.19026087745828377
0,3.91740381171809e-4,4.18876134989354e-4,-0.02908727604574797
0,2.22900163471537e-4,4.18876134989354e-4,-0.27397523062670437
0,7.11474224308155e-5,4.18876134989354e-4,-0.7699264467735024
1,1.30652153227862e-5,4.18876134989354e-4,-1.5059690460493609
0,4.18876134989354e-4,1.30652153227862e-5,1.5059690460493609
0,2.70286739993669e-4,1.30652153227862e-5,1.3157081685910772
0,2.22900163471537e-4,1.30652153227862e-5,1.2319938154226566
0,1.50922294763019e-4,1.30652153227862e-5,1.0626368284340584
0,8.94759846433935e-5,1.30652153227862e-5,0.8355899147432847
0,1.99564746542808e-4,1.30652153227862e-5,1.1839672532938514
0,5.23166588876246e-4,1.30652153227862e-5,1.6025234291779462
0,2.50865225512611e-4,1.30652153227862e-5,1.2833238928023971
0,3.98766938745432e-5,1.30652153227862e-5,0.48460257277208474
0,2.20804627643921e-4,1.30652153227862e-5,1.2278915995741209
0,4.16964364574935e-4,1.30652153227862e-5,1.503982368471677
0,3.91740381171809e-4,1.30652153227862e-5,1.476881770003613
0,7.11474224308155e-5,1.30652153227862e-5,0.7360425992758586
0,1.30652153227862e-5,1.30652153227862e-5,0
0,5.35782467475548e-4,1.30652153227862e-5,1.6128719264307847
0,5.23166588876246e-4,2.50865225512611e-4,0.3191995363755489
